2026-06-24 17:16:49 | WARNING  | pdf_reader | PyPDF2 is deprecated — install pypdf for better compatibility: pip install pypdf
2026-06-24 23:58:54 | INFO     | pipeline | Clauses extracted: 63 | skipped_batches=0 | took 49.4s
2026-06-24 23:58:54 | INFO     | risk_analyzer | Assessing 63 clauses | doc_type=OFFER_LETTER
2026-06-24 23:58:54 | INFO     | risk_analyzer | Assessing batch 1 (6 clauses)
2026-06-24 23:58:54 | INFO     | llm | Using GROQ_API_KEY_3 (smart/70b)
2026-06-24 23:58:57 | INFO     | risk_analyzer | Assessing batch 2 (6 clauses)
2026-06-24 23:58:57 | INFO     | llm | Using GROQ_API_KEY_1 (smart/70b)
2026-06-24 23:58:58 | INFO     | risk_analyzer | Assessing batch 3 (6 clauses)
2026-06-24 23:58:58 | INFO     | llm | Using GROQ_API_KEY_2 (smart/70b)
2026-06-24 23:59:00 | INFO     | risk_analyzer | Assessing batch 4 (6 clauses)
2026-06-24 23:59:00 | INFO     | llm | Using GROQ_API_KEY_3 (smart/70b)
2026-06-24 23:59:01 | INFO     | risk_analyzer | Assessing batch 5 (6 clauses)
2026-06-24 23:59:01 | INFO     | llm | Using GROQ_API_KEY_1 (smart/70b)
2026-06-24 23:59:03 | INFO     | risk_analyzer | Assessing batch 6 (6 clauses)
2026-06-24 23:59:03 | INFO     | llm | Using GROQ_API_KEY_2 (smart/70b)
2026-06-24 23:59:04 | INFO     | risk_analyzer | Assessing batch 7 (6 clauses)
2026-06-24 23:59:04 | INFO     | llm | Using GROQ_API_KEY_3 (smart/70b)
2026-06-24 23:59:06 | INFO     | risk_analyzer | Assessing batch 8 (6 clauses)
2026-06-24 23:59:06 | INFO     | llm | Using GROQ_API_KEY_1 (smart/70b)
2026-06-24 23:59:07 | INFO     | risk_analyzer | Assessing batch 9 (6 clauses)
2026-06-24 23:59:07 | INFO     | llm | Using GROQ_API_KEY_2 (smart/70b)
2026-06-24 23:59:09 | INFO     | risk_analyzer | Assessing batch 10 (6 clauses)
2026-06-24 23:59:09 | INFO     | llm | Using GROQ_API_KEY_3 (smart/70b)
2026-06-24 23:59:10 | INFO     | risk_analyzer | Assessing batch 11 (3 clauses)
2026-06-24 23:59:10 | INFO     | llm | Using GROQ_API_KEY_1 (smart/70b)
2026-06-24 23:59:34 | WARNING  | risk_analyzer | Batch 7: LLM call exceeded 30.0s on attempt 1
2026-06-24 23:59:36 | WARNING  | risk_analyzer | Batch 8: LLM call exceeded 30.0s on attempt 1
2026-06-24 23:59:46 | INFO     | risk_analyzer | All 11 batches resolved in 51.7s (deadline=90.0s, skipped_batches=0)
2026-06-24 23:59:46 | INFO     | risk_analyzer | Assessment complete: 63 clauses | HIGH=5 | MEDIUM=10 | LOW=25 | SAFE=23 | NEEDS_MANUAL_REVIEW=0
2026-06-24 23:59:46 | INFO     | pipeline | Risks assessed: 63 | took 51.7s
2026-06-24 23:59:46 | INFO     | simplifier | Simplify batch 1: 7 clause(s)
2026-06-24 23:59:46 | INFO     | llm | Using GROQ_API_KEY_2 (fast/8b)
2026-06-24 23:59:47 | INFO     | simplifier | Simplify batch 2: 7 clause(s)
2026-06-24 23:59:47 | INFO     | llm | Using GROQ_API_KEY_3 (fast/8b)
2026-06-24 23:59:47 | INFO     | simplifier | Simplify batch 1: accepted=7 rejected=0 on attempt 1
2026-06-24 23:59:48 | INFO     | simplifier | Simplify batch 3: 7 clause(s)
2026-06-24 23:59:48 | INFO     | llm | Using GROQ_API_KEY_1 (fast/8b)
2026-06-24 23:59:48 | INFO     | simplifier | Simplify batch 2: accepted=7 rejected=0 on attempt 1
2026-06-24 23:59:49 | INFO     | simplifier | Simplify batch 4: 7 clause(s)
2026-06-24 23:59:49 | INFO     | llm | Using GROQ_API_KEY_2 (fast/8b)
2026-06-24 23:59:49 | INFO     | simplifier | Simplify batch 3: accepted=7 rejected=0 on attempt 1
